"student_index","baseline_prob","scenario_prob","delta_prob","baseline_class","scenario_class","class_changed","actual_at_risk"
249,0.9504,0.8927,-0.0577,"At Risk","At Risk",FALSE,"Low Risk"
301,0.9511,0.8942,-0.0569,"At Risk","At Risk",FALSE,"Low Risk"
164,0.092,0.0391,-0.053,"Low Risk","Low Risk",FALSE,"At Risk"
133,0.9554,0.9029,-0.0525,"At Risk","At Risk",FALSE,"Low Risk"
150,0.0882,0.0403,-0.0479,"Low Risk","Low Risk",FALSE,"At Risk"
392,0.073,0.0331,-0.0399,"Low Risk","Low Risk",FALSE,"At Risk"
127,0.0677,0.0283,-0.0394,"Low Risk","Low Risk",FALSE,"At Risk"
19,0.0685,0.031,-0.0376,"Low Risk","Low Risk",FALSE,"At Risk"
144,0.0504,0.0225,-0.0278,"Low Risk","Low Risk",FALSE,"At Risk"
247,0.0429,0.0191,-0.0238,"Low Risk","Low Risk",FALSE,"At Risk"
157,0.0389,0.0173,-0.0216,"Low Risk","Low Risk",FALSE,"Low Risk"
153,0.0333,0.0148,-0.0186,"Low Risk","Low Risk",FALSE,"At Risk"
68,0.5855,0.5855,0,"At Risk","At Risk",FALSE,"At Risk"
95,0.4838,0.4838,0,"Low Risk","Low Risk",FALSE,"Low Risk"
105,0.7304,0.7304,0,"At Risk","At Risk",FALSE,"Low Risk"
106,0.7748,0.7748,0,"At Risk","At Risk",FALSE,"At Risk"
140,0.6584,0.6584,0,"At Risk","At Risk",FALSE,"At Risk"
81,0.9002,0.9071,0.0069,"At Risk","At Risk",FALSE,"Low Risk"
73,0.0805,0.0931,0.0126,"Low Risk","Low Risk",FALSE,"At Risk"
278,0.0982,0.1132,0.015,"Low Risk","Low Risk",FALSE,"At Risk"
25,0.7371,0.7523,0.0151,"At Risk","At Risk",FALSE,"At Risk"
39,0.7287,0.7441,0.0155,"At Risk","At Risk",FALSE,"Low Risk"
161,0.1021,0.1177,0.0156,"Low Risk","Low Risk",FALSE,"At Risk"
78,0.0739,0.092,0.0181,"Low Risk","Low Risk",FALSE,"Low Risk"
111,0.3496,0.3679,0.0183,"Low Risk","Low Risk",FALSE,"Low Risk"
64,0.5686,0.588,0.0194,"At Risk","At Risk",FALSE,"At Risk"
99,0.4391,0.4588,0.0197,"Low Risk","Low Risk",FALSE,"At Risk"
222,0.8294,0.8508,0.0214,"At Risk","At Risk",FALSE,"Low Risk"
126,0.818,0.8405,0.0225,"At Risk","At Risk",FALSE,"Low Risk"
309,0.1619,0.1847,0.0228,"Low Risk","Low Risk",FALSE,"Low Risk"
63,0.7075,0.7393,0.0318,"At Risk","At Risk",FALSE,"At Risk"
50,0.2721,0.3048,0.0327,"Low Risk","Low Risk",FALSE,"At Risk"
155,0.6888,0.7219,0.0331,"At Risk","At Risk",FALSE,"At Risk"
232,0.2791,0.3122,0.0331,"Low Risk","Low Risk",FALSE,"At Risk"
75,0.6869,0.7201,0.0332,"At Risk","At Risk",FALSE,"Low Risk"
65,0.6845,0.7179,0.0333,"At Risk","At Risk",FALSE,"Low Risk"
46,0.6665,0.7009,0.0344,"At Risk","At Risk",FALSE,"At Risk"
69,0.6536,0.6888,0.0351,"At Risk","At Risk",FALSE,"At Risk"
3,0.3253,0.3611,0.0359,"Low Risk","Low Risk",FALSE,"Low Risk"
8,0.3311,0.3672,0.0362,"Low Risk","Low Risk",FALSE,"At Risk"
59,0.6148,0.6518,0.037,"At Risk","At Risk",FALSE,"At Risk"
251,0.606,0.6433,0.0373,"At Risk","At Risk",FALSE,"Low Risk"
201,0.5877,0.6257,0.038,"At Risk","At Risk",FALSE,"Low Risk"
275,0.3916,0.4302,0.0385,"Low Risk","Low Risk",FALSE,"Low Risk"
228,0.5656,0.6043,0.0386,"At Risk","At Risk",FALSE,"At Risk"
92,0.4151,0.4542,0.0391,"Low Risk","Low Risk",FALSE,"At Risk"
18,0.5334,0.5727,0.0393,"At Risk","At Risk",FALSE,"Low Risk"
29,0.5234,0.5629,0.0395,"At Risk","At Risk",FALSE,"Low Risk"
112,0.5155,0.5551,0.0396,"At Risk","At Risk",FALSE,"Low Risk"
283,0.4439,0.4834,0.0396,"Low Risk","Low Risk",FALSE,"Low Risk"
1,0.4552,0.4949,0.0397,"Low Risk","Low Risk",FALSE,"At Risk"
212,0.4555,0.4952,0.0397,"Low Risk","Low Risk",FALSE,"Low Risk"
45,0.4727,0.5124,0.0398,"Low Risk","At Risk",TRUE,"At Risk"
103,0.4727,0.5125,0.0398,"Low Risk","At Risk",TRUE,"At Risk"
44,0.7392,0.7826,0.0434,"At Risk","At Risk",FALSE,"Low Risk"
80,0.7081,0.7549,0.0468,"At Risk","At Risk",FALSE,"Low Risk"
40,0.6986,0.7464,0.0478,"At Risk","At Risk",FALSE,"Low Risk"
62,0.2877,0.339,0.0513,"Low Risk","Low Risk",FALSE,"Low Risk"
125,0.6242,0.6783,0.0542,"At Risk","At Risk",FALSE,"Low Risk"
54,0.5977,0.6536,0.0559,"At Risk","At Risk",FALSE,"Low Risk"
96,0.3916,0.4497,0.0581,"Low Risk","Low Risk",FALSE,"Low Risk"
100,0.5146,0.5738,0.0592,"At Risk","At Risk",FALSE,"At Risk"
154,0.4817,0.5413,0.0596,"Low Risk","At Risk",TRUE,"Low Risk"
